Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Average of next day price,close-open,open price of next day
ITC,EQ,24-Mar-22,252,251.95,256.5,251.45,254.75,254.85,254.29,38239419,9723876526,187564,20850112,54.53,252.48,-1.95,255.3
ITC,EQ,25-Mar-22,254.85,255.3,255.75,249.25,252.7,253.35,252.48,29284643,7393703767,131798,17268364,58.97,255.73,3.05,254
ITC,EQ,28-Mar-22,253.35,254,258,252.55,256.2,257.05,255.73,24916402,6371890063,156533,13738059,55.14,255.06,-2.45,257.05
ITC,EQ,29-Mar-22,257.05,257.05,257.5,253.75,254.3,254.6,255.06,18122714,4622454136,114137,10020467,55.29,251.58,-5.9,255.1
ITC,EQ,30-Mar-22,254.6,255.1,256.4,248.65,249.05,249.2,251.58,17603827,4428750077,125981,9256409,52.58,251.19,1.05,249.6
ITC,EQ,31-Mar-22,249.2,249.6,254.35,249.5,250.7,250.65,251.19,25656796,6444678255,131890,16752131,65.29,251.32,3.3,250
ITC,EQ,1-Apr-22,250.65,250,255.35,248.8,255.05,253.3,251.32,14305709,3595279351,114531,7210970,50.41,254.24,2.35,253.1
ITC,EQ,4-Apr-22,253.3,253.1,257.9,251.1,255.75,255.45,254.24,15907398,4044245820,109421,7883260,49.56,258.9,3.4,256.05
ITC,EQ,5-Apr-22,255.45,256.05,261.85,255.1,259,259.45,258.9,27183142,7037729122,178177,12451681,45.81,260.2,2.1,257.5
ITC,EQ,6-Apr-22,259.45,257.5,263.35,257.3,260,259.6,260.2,19597941,5099320485,155736,8355630,42.64,258.62,-1.35,258
ITC,EQ,7-Apr-22,259.6,258,262.2,255.8,256.7,256.65,258.62,16061089,4153641423,126604,8700729,54.17,263.51,9.8,258
ITC,EQ,8-Apr-22,256.65,258,268.85,256,268.75,267.8,263.51,37826800,9967802074,232170,15268435,40.36,269.3,-1.25,268.75
ITC,EQ,11-Apr-22,267.8,268.75,273.15,266,267.1,267.5,269.3,46147653,12427333078,269185,17956565,38.91,265.72,-2.1,266.9
ITC,EQ,12-Apr-22,267.5,266.9,268.65,263.1,264.6,264.8,265.72,23553762,6258603719,150370,10509218,44.62,267.07,4.25,265.3
ITC,EQ,13-Apr-22,264.8,265.3,270.6,263.65,269.1,269.55,267.07,21414383,5719183511,144139,8889619,41.51,269.67,2.1,268
ITC,EQ,18-Apr-22,269.55,268,272.5,267.25,270.35,270.1,269.67,24399444,6579899980,189235,11607148,47.57,267.74,-10.45,272
ITC,EQ,19-Apr-22,270.1,272,272.5,258.8,259.25,261.55,267.74,23380138,6259809070,201593,11502363,49.2,260.75,-3.35,262.9
ITC,EQ,20-Apr-22,261.55,262.9,265.45,257.55,259.8,259.55,260.75,24510612,6391161210,205236,11056033,45.11,261.61,0.7,259.7
ITC,EQ,21-Apr-22,259.55,259.7,264.45,259.6,260.25,260.4,261.61,23412279,6124998845,163869,13185005,56.32,260.66,1.1,260
